City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,phatthalung,7.5,100.0833,28.05,68,89,3.71,TH,1675228306
252,miles city,46.4083,-105.8406,-7.46,67,20,0.0,US,1675228130
253,bonavista,48.6499,-53.1147,-3.48,94,100,13.34,CA,1675228307
254,moundsville,39.9203,-80.7431,-3.25,79,100,1.78,US,1675228307
255,gawler,-34.6,138.7333,21.3,71,42,5.09,AU,1675228308
256,gravdal,68.1214,13.5031,-6.06,100,0,0.0,NO,1675228308
257,aguadilla,18.4275,-67.1541,25.5,77,75,6.17,PR,1675228309
258,barreiras,-12.1528,-44.99,20.59,75,2,1.27,BR,1675228309
259,teya,60.3778,92.6267,-12.92,94,99,1.18,RU,1675228309
260,qarqin,37.4185,66.0436,15.24,36,100,12.81,AF,1675228310
261,novyy urengoy,66.0833,76.6333,-11.97,95,100,7.82,RU,1675228310
262,maningrida,-12.0667,134.2667,30.99,67,87,5.93,AU,1675228311
263,saint-joseph,-21.3667,55.6167,26.72,82,89,4.93,RE,1675228094
264,isiro,2.7739,27.616,19.79,64,93,0.83,CD,1675228311
265,kudahuvadhoo,2.6708,72.8944,26.84,76,100,5.65,MV,1675228312
266,hobyo,5.3505,48.5268,25.46,66,5,7.38,SO,1675228313
267,okhotsk,59.3833,143.3,-16.89,95,100,5.59,RU,1675228313
268,lavrentiya,65.5833,-171.0,-12.87,98,94,2.24,RU,1675228314
269,odweyne,9.4092,45.064,17.35,55,1,2.27,SO,1675228314
270,sur,22.5667,59.5289,21.27,64,6,2.93,OM,1675228315
271,matagami,49.7502,-77.6328,-17.94,78,100,3.09,CA,1675228316
272,husavik,66.0449,-17.3389,-1.95,95,100,4.84,IS,1675228315
273,komsomolskiy,40.4272,71.7189,2.4,64,100,1.03,UZ,1675228316
274,batemans bay,-35.7167,150.1833,22.83,65,21,4.05,AU,1675228317
275,sovetskiy,61.3614,63.5842,-9.31,96,95,3.01,RU,1675228317
276,bilibino,68.0546,166.4372,-15.98,90,97,2.61,RU,1675228318
277,tuktoyaktuk,69.4541,-133.0374,-33.52,100,17,1.13,CA,1675228318
278,la ronge,55.1001,-105.2842,-30.28,100,42,2.22,CA,1675228319
279,abu samrah,35.3029,37.1841,7.08,86,81,6.08,SY,1675228319
280,humberto de campos,-2.5983,-43.4611,23.24,96,99,1.31,BR,1675228319
281,tiksi,71.6872,128.8694,-18.14,99,100,3.43,RU,1675228320
282,aklavik,68.2191,-135.0107,-34.85,100,69,2.72,CA,1675228082
283,evensk,61.95,159.2333,-10.56,96,100,1.95,RU,1675228321
284,aripuana,-9.1667,-60.6333,21.28,98,99,0.77,BR,1675228321
285,qaqortoq,60.7167,-46.0333,-12.5,91,100,2.58,GL,1675228322
286,troitskoye,52.9821,84.6757,-7.5,84,100,1.15,RU,1675228146
287,heyang,26.1011,107.473,12.18,79,100,1.24,CN,1675228323
288,tanete,-3.9443,119.7848,30.54,64,87,3.93,ID,1675228324
289,asau,46.4333,26.4,-5.49,87,74,3.41,RO,1675228324
